Date,0,1,2,3,4,5,6,7,8
2/11/2009,-0.612639609,-1.05697593,0.156762478,2.360770027,4.895511271,-0.04194367,-4.921224602,18.14799606,95.98174797
2/10/2009,0.688937979,-0.650355889,0.627648537,2.554655185,4.973736112,-0.111230245,-4.839043891,18.20967874,96.05597547
2/9/2009,-0.784239328,-0.538948535,1.035422459,2.664072945,5.011255187,-0.18272295,-4.755362556,18.2702767,96.13024408
2/6/2009,0.928063484,-0.433609534,1.291600192,2.670860728,5.005266661,-0.256344756,-4.670178378,18.32978851,96.2045531
2/5/2009,-1.127930909,0.498803791,1.303819146,2.559971854,4.953434681,-0.331721977,-4.583489136,18.38821275,96.2789018
2/4/2009,0.514760278,0.689979556,0.983585665,2.330133594,4.856401883,-0.408408856,-4.495292609,18.445548,96.35328949
2/3/2009,1.603101498,0.109008854,0.355921497,1.988430538,4.715573542,-0.485959638,-4.405586579,18.50179284,96.42771545
2/2/2009,-1.812950432,-0.568167328,-0.375322222,1.543257629,4.532370727,-0.56394436,-4.314368823,18.55694584,96.50217897
1/30/2009,1.338421557,-0.263740913,-0.960019704,1.003009811,4.308277685,-0.641996238,-4.221637121,18.6110056,96.57667933
1/29/2009,1.581059126,0.448901526,-1.148873097,0.376082027,4.044794456,-0.719764282,-4.127389254,18.66397068,96.65121582
1/28/2009,2.128441348,0.626251971,-0.800672451,-0.320550846,3.743421083,-0.796897501,-4.031623001,18.71583966,96.72578774
1/27/2009,1.143460931,-0.219348516,0.042720842,-1.032117304,3.405657606,-0.873044905,-3.934336141,18.76661112,96.80039436
1/26/2009,-2.053276867,-0.880082535,0.863778995,-1.68135834,3.033004065,-0.947855503,-3.835526454,18.81628365,96.87503499
1/23/2009,1.940655591,-0.223802162,1.199897028,-2.19210165,2.626960503,-1.020978306,-3.73519172,18.86485582,96.9497089
1/22/2009,-0.66828757,1.067079843,0.974422781,-2.51358956,2.189026959,-1.092062324,-3.633329718,18.91232621,97.02441538
1/21/2009,-1.623673463,1.364210627,0.259874936,-2.628268902,1.720703476,-1.160751451,-3.529943342,18.95869339,97.09915373
1/20/2009,1.448856633,-0.288380198,-0.684376902,-2.526318565,1.224061921,-1.22666913,-3.425055939,19.00395596,97.17392322
1/16/2009,-0.952879162,-1.518907387,-1.350173154,-2.200397481,0.70365421,-1.289433689,-3.31869597,19.04811247,97.24872316
1/15/2009,-1.12581586,-0.801179155,-1.316340415,-1.657581664,0.165761101,-1.348663455,-3.210891898,19.09116152,97.32355282
1/14/2009,0.995531337,0.91475256,-0.72710842,-0.957437174,-0.381599552,-1.403976757,-3.101672183,19.13310169,97.3984115
1/13/2009,-0.391565531,1.421080599,0.131942311,-0.172604394,-0.930023804,-1.454991923,-2.991065287,19.17393154,97.47329848
1/12/2009,-0.835974769,0.484530807,0.976843602,0.624276289,-1.471107707,-1.50132728,-2.879099671,19.21364967,97.54821306
1/9/2009,0.817267681,-1.049641908,1.53125585,1.360564491,-1.996447317,-1.542601156,-2.765803796,19.25225465,97.62315451
1/8/2009,0.093706512,-1.295006094,1.557091269,1.963619824,-2.497638687,-1.57843188,-2.651206124,19.28974505,97.69812213
1/7/2009,-0.889917089,-0.383735914,1.010203439,2.374263665,-2.966277873,-1.608437779,-2.535335117,19.32611946,97.77311521
1/6/2009,0.553931155,0.745159366,0.138653911,2.587822954,-3.394619454,-1.632237181,-2.418219235,19.36137645,97.84813303
1/5/2009,0.7385364,1.435144824,-0.741204748,2.616309744,-3.778141363,-1.649448415,-2.299886941,19.39551461,97.92317489
1/2/2009,1.002007111,1.22510303,-1.353240773,2.474838321,-4.115423765,-1.659687839,-2.180368663,19.42853252,97.99824006
12/31/2008,1.194898848,0.24063517,-1.630501107,2.179459043,-4.405982894,-1.662563942,-2.059702704,19.46042874,98.07332784
12/30/2008,-0.29396475,-0.997816047,-1.559188269,1.746364944,-4.649421693,-1.657682656,-1.937929919,19.49120186,98.14843753
12/29/2008,-1.267551835,-1.698026122,-1.129172097,1.195416377,-4.845324343,-1.644666096,-1.815093744,19.52085047,98.22356839
12/26/2008,-1.271182986,-1.250604591,-0.381545203,0.56288593,-4.993199986,-1.623209864,-1.691239162,19.54937313,98.29871973
12/24/2008,-0.804220329,-0.052861272,0.489584035,-0.101180208,-5.092539008,-1.593028077,-1.566411403,19.57676843,98.37389083
